The Data Nerd,@OnchainDataNerd
Tweet Range : 2024-04-21:2030-01-01
Save Path : C:\Users\86158\Desktop\学习内容\twitter_scrapy_for_text-main\OnchainDataNerd\
Tweet Date,Tweet URL,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024-06-24 06:20,https://twitter.com/OnchainDataNerd/status/1805123933609623661,"7 hours ago, a wallet 0x992 named ""docxbt.eth"" just withdrew 2M $ONDO (~$2.19M) from #Coinbase.

At the same time, other wallet 0xC19 withdrew 464.5k $ONDO (~$509k) from #Coinbase too.

Addresses:
",23,1,0
2024-06-23 15:29,https://twitter.com/OnchainDataNerd/status/1804899548499980552,"30 minutes ago, a whale 0x7Ee just withdrew 1.355M $LDO (~$2.98M) from #Binance.

9 months ago, he accumulated 17,717 $TRB for $744k and this investment turns into $1.76M now.

Address:
",25,2,5
2024-06-23 02:13,https://twitter.com/OnchainDataNerd/status/1804699243887681924,"7 hours ago, a fresh wallet 0x2E9 withdrew 54.1k $AAVE (~$4.37M) from #OKX.

Within 14 hours, he totally accumulated 89.1k $AAVE for $7.17M.

Address:
",16,1,1
2024-06-22 16:23,https://twitter.com/OnchainDataNerd/status/1804550671649423749,"7 hours ago, a whale 0xcD4 just deposited 200 $BTCB (~$12.04M) and 9,654 $ETH (~$33.64M) to #Binance.

Before that, he withdrew 47,039 $BNB (~$27.55M) from #Binance to repay his loan in #Venus and then unstaked all above tokens from #Venus.

Address:
",18,2,3
2024-06-22 09:55,https://twitter.com/OnchainDataNerd/status/1804453270750126236,"5 hours ago, 2 wallets (may belong to @wintermute_t) just withdrew 11.44M $ARB (~$9.17M) from #Binance.

Just now, they have 20.2M $ARB (~$16.12M) in their wallet.

Addresses:
",36,3,8
2024-06-21 15:58,https://twitter.com/OnchainDataNerd/status/1804182132417531939,"Within 24 hours, the 3-year-old $SHIB holder 0x6F6 withdrew 245B $SHIB (~$4.41M) from #Coinbase.

3 years ago, he accumulated 285.29B $SHIB for $2.45M and this investment is worth $4.93M today (ROI ~101%).

His address:
",5,3,1
2024-06-21 05:19,https://twitter.com/OnchainDataNerd/status/1804021191461736888,"1 hour ago, a wallet 0x460 (maybe the MM of $ONDO - Upbit???) just received 884k $ONDO (~$1.08M)

Within 3 weeks, this wallet received totally 45.6M $ONDO (~$55.19M).

Address:
",51,10,3
2024-06-21 03:51,https://twitter.com/OnchainDataNerd/status/1803999175518097884,"A loss to $GRT whale.

1 hour ago, a whale 0x2AF just deposited 7.16M $GRT (~$1.61M) to #Binance.

Last month, he accumulated 23.87M $GRT for $7.22M (avg entry $0.302) and this investment has an unrealized loss ~$2.2M (ROI -30%).

Address:
",10,1,1
2024-06-20 11:34,https://twitter.com/OnchainDataNerd/status/1803753173821391300,"Yesterday, a smart money 0x403 just staked all 14B $FLOKI (~$2.36M) into #Floki.

2 years ago, he accumulated those tokens at avg entry $0.00001207 and his unrealized profit is ~$2.19M (with ROI ~ 1,293%).

Address:
",13,2,1
2024-06-20 08:41,https://twitter.com/OnchainDataNerd/status/1803709672160952631,"Today, $ZRO - LayerZero will be listed on most of exchanges.

Who are MM?

✅ @wintermute_t received 6.65M $ZRO
✅ @GSR_io received 11M $ZRO
✅ @ambergroup_io received 5.69M $ZRO
✅ @Auros_global received 360k $ZRO
✅ 0x37D (unknown MM) received 500k $ZRO ",250,37,18
2024-06-20 04:56,https://twitter.com/OnchainDataNerd/status/1803653014856831220,"Yesterday, a Multisig wallet 0x1a8 (belongs to @OndoFinance) just transferred 8.17M $ONDO (~$9.39M) to 24 other wallets (maybe early investors).

This is the 3rd vesting and it always happen on 18th / 19th each month.

Address:
",23,4,4
2024-06-20 03:31,https://twitter.com/OnchainDataNerd/status/1803631650016014603,"6 hours ago, a smart money 0x846 just deposited 645.6k $RNDR (~$4.94M).
If sold all at current price, he will earn $2.25M (ROI ~ 84%)

5 months ago, he accumulated those tokens at avg entry $4.16.

Address:
",9,0,1
2024-06-19 09:01,https://twitter.com/OnchainDataNerd/status/1803352318613790779,"2 large $ATH withdrawals from exchanges:

✅10 hours ago, 0x8Fb withdrew 23.074M $ATH (~$1.59M) from #OKX.
✅ Within a week, 0xE23 withdrew 24.9M $ATH (~$1.8M) from #OKX and #Gate.

Address:
",11,3,6
2024-06-19 06:44,https://twitter.com/OnchainDataNerd/status/1803317806668325191,"5 hours ago, a whale just withdrew 14,155 $BNB (~$8.31M) from #Binance and then staked into @VenusProtocol
After that, he borrowed 65 $BTCB &amp; deposited into #Binance

Just now, he's staking 103,280 $BNB ($60.85M) and borrowing 750 $BTCB (~$49M)

Address:
",19,1,2
2024-06-19 04:47,https://twitter.com/OnchainDataNerd/status/1803288360662036804,"3 hours ago, a whale 0x58E just withdrew 5,603 $ETH (~$19.65M) from #Binance.

Within 3 weeks, he totally accumulated 16,605 $ETH (~$59.78M) from #Binance with avg entry $3,600

Address:
",14,2,1
2024-06-19 02:43,https://twitter.com/OnchainDataNerd/status/1803257298737045960,"13 hours ago, a smart money just deposited his last 407.7B $PEPE (~$4.19M) to #Binance.

Last year, he accumulated 1.97T $PEPE at avg entry $0.00000131 and his realized profit is ~$3.65M (ROI ~ 140%)

Address:
",19,1,2
2024-06-18 09:04,https://twitter.com/OnchainDataNerd/status/1802990650213998842,"Within 24h, there were 3 large $CRV withdrawals from #Binance:

✅0x5dC withdrew 20.86M (~$6.8M)
✅0x42C withdrew 6.79M (~$1.91M)
✅0x790 withdrew 8M (~$2.68M)

Address:
",13,1,1
2024-06-18 05:19,https://twitter.com/OnchainDataNerd/status/1802934026963222540,"2 hours ago, a whale 0x3c9 just deposited 50k $LINK (~$682k) to #Kraken.

Within 5 days, he totally deposited 250k $LINK (~$3.72M) to #Kraken

This whale is true reStaker with 31,793 $ETH, 138 $WBTC and 70k $LINK in #Spark and #AAVE.

Address:
",12,1,1
2024-06-18 03:31,https://twitter.com/OnchainDataNerd/status/1802906833696518365,"1 hour ago, the wallet 0x999 (maybe @GenesisTrading) just deposited 2,840 $ETH (~$9.7M) to #FalconX.

Within 2 months, this wallet transferred totally 42,882 $ETH (~$138M) to #FalconX, #Bitstamp and #Coinbase.

Address:
",15,2,6
2024-06-17 10:39,https://twitter.com/OnchainDataNerd/status/1802652172217442625,"18 hours ago, a smart money 0x56f deposited his last 3.5M $ONDO (~$4.16M) to #ByBit.

During last 4 months, he accumulated 9M $ONDO for $5M (at avg entry $0.558) and this investment makes a huge profit ~$5.38M (ROI - 107%).

Address:
",33,7,4
2024-06-17 08:10,https://twitter.com/OnchainDataNerd/status/1802614673810002295,"5 hours ago, a whale 0x454 just unstaked all 1,127 $ETH (~$4.40M) from #Tranchess and then deposited all to #Binance.

Last year, he accumulated those $ETH at avg entry $1,756 and will earn $2.06M if sold all at current price.

Address:
",10,1,2
2024-06-17 06:50,https://twitter.com/OnchainDataNerd/status/1802594602127704510,"4 hours ago, 2 wallets (may belong to 1 whale) just deposited 427.6k $UNI (~$4.74M) to #Binance.

On 24th May, they accumulated those tokens at avg entry $9.33 and will earn $750k if sold all at current price.

Addresses:
",11,1,4
2024-06-16 10:48,https://twitter.com/OnchainDataNerd/status/1802292085581885883,"1 hour ago, a wallet 0x5Ea (maybe a @ether_fi's treasury) just deposited 300k (~$1.19M) $ETHFI into #Binance.

3 months ago, it received 8M $ETHFI from Treasury wallet.

Just now, it still hodls 1.6M $ETHFI (~$6.35M).

Address:
",18,3,4
